# Radius 	finiterdf__H_Water_H_Water	rdf__H_Water_H_Water	finiterdf__H_Water_O_Water	rdf__H_Water_O_Water	finiterdf__O_Water_O_Water	rdf__O_Water_O_Water	
5.70268 0.977613	0.977645	1.00894	1.00917	0.904029	0.904119	
5.72315 0.979346	0.979371	1.00677	1.007	0.907936	0.907996	
5.74363 0.981237	0.981254	1.00445	1.00469	0.906466	0.906496	
5.76411 0.982956	0.982967	1.00224	1.00248	0.909891	0.909891	
5.78458 0.984725	0.984731	1.00111	1.00134	0.911175	0.911145	
5.80506 0.986142	0.986143	0.998785	0.999021	0.91278	0.912721	
5.82553 0.988197	0.988194	0.996753	0.996987	0.915344	0.915256	
5.84601 0.990282	0.990275	0.993936	0.994167	0.919598	0.919481	
5.86649 0.991578	0.991568	0.99171	0.991938	0.919389	0.919245	
5.88696 0.992751	0.992738	0.990443	0.990668	0.924772	0.9246	
5.90744 0.994336	0.994321	0.987545	0.987764	0.926857	0.926659	
5.92792 0.995163	0.995147	0.986152	0.986365	0.932399	0.932175	
5.94839 0.996995	0.996977	0.983798	0.984004	0.934878	0.93463	
5.96887 0.998214	0.998195	0.982317	0.982517	0.936879	0.936607	
5.98935 0.99992	0.999901	0.978954	0.979145	0.942129	0.941834	
6.00982 1.00119	1.00118	0.977503	0.977685	0.94745	0.947133	
6.0303 1.0017	1.00168	0.976017	0.976189	0.950706	0.950369	
6.05077 1.00197	1.00196	0.973772	0.973934	0.954286	0.95393	
6.07125 1.00284	1.00283	0.97415	0.974301	0.956147	0.955774	
6.09173 1.00352	1.0035	0.973165	0.973306	0.960684	0.960293	
6.1122 1.00403	1.00401	0.970649	0.970778	0.965876	0.96547	
6.13268 1.00384	1.00383	0.970855	0.970972	0.969084	0.968663	
6.15316 1.00512	1.00511	0.969481	0.969585	0.97233	0.971897	
6.17363 1.00489	1.00488	0.969621	0.969714	0.977694	0.977249	
6.19411 1.0049	1.0049	0.967937	0.968016	0.979967	0.979512	
6.21459 1.00558	1.00558	0.968539	0.968606	0.985491	0.985027	
6.23506 1.00624	1.00624	0.968238	0.968291	0.988151	0.987681	
6.25554 1.00532	1.00532	0.967883	0.967923	0.989863	0.989387	
6.27601 1.00532	1.00533	0.968473	0.968499	0.99427	0.993789	
6.29649 1.00549	1.0055	0.968307	0.968319	0.998262	0.997779	
6.31697 1.00478	1.00479	0.968006	0.968005	1.00165	1.00116	
6.33744 1.00478	1.00479	0.969117	0.969103	1.00381	1.00333	
6.35792 1.00424	1.00425	0.968766	0.968738	1.00793	1.00745	
6.3784 1.00426	1.00427	0.970138	0.970097	1.009	1.00852	
6.39887 1.00404	1.00405	0.970869	0.970815	1.01194	1.01146	
6.41935 1.00323	1.00325	0.971155	0.971088	1.01616	1.01569	
6.43983 1.00305	1.00307	0.972725	0.972646	1.01728	1.01682	
6.4603 1.00231	1.00233	0.973389	0.973298	1.02036	1.01991	
6.48078 1.00249	1.00251	0.975287	0.975184	1.02421	1.02376	
6.50126 1.00153	1.00155	0.97602	0.975906	1.02402	1.02359	
6.52173 1.00039	1.00041	0.977639	0.977514	1.0277	1.02728	
6.54221 1.00037	1.00039	0.978864	0.978729	1.0294	1.02899	
6.56268 0.998967	0.99899	0.979466	0.979321	1.03178	1.03138	
6.58316 0.999189	0.999211	0.981402	0.981249	1.0335	1.03312	
6.60364 0.998721	0.998743	0.983279	0.983117	1.03435	1.03399	
6.62411 0.998434	0.998455	0.983812	0.983642	1.03637	1.03603	
6.64459 0.998953	0.998973	0.985529	0.985352	1.03596	1.03563	
6.66507 0.998428	0.998448	0.987714	0.987531	1.03699	1.03669	
6.68554 0.997945	0.997963	0.9884	0.98821	1.03896	1.03868	
6.70602 0.997806	0.997824	0.990598	0.990403	1.04031	1.04005	
6.7265 0.996731	0.996748	0.991735	0.991535	1.04163	1.04138	
6.74697 0.997806	0.997821	0.992984	0.992781	1.04081	1.04059	
6.76745 0.997257	0.997271	0.994122	0.993915	1.04176	1.04156	
6.78792 0.996077	0.996089	0.995339	0.99513	1.04308	1.0429	
6.8084 0.997077	0.997087	0.997977	0.997766	1.04369	1.04354	
6.82888 0.996275	0.996284	0.998758	0.998546	1.04344	1.04331	
6.84935 0.996876	0.996883	1.00006	0.999853	1.04249	1.04238	
6.86983 0.997076	0.997081	1.00159	1.00138	1.04257	1.04248	
6.89031 0.997832	0.997836	1.00261	1.0024	1.04244	1.04238	
6.91078 0.996792	0.996794	1.00438	1.00417	1.04266	1.04263	
6.93126 0.997293	0.997294	1.00588	1.00567	1.04139	1.04138	
6.95174 0.996889	0.996887	1.00637	1.00616	1.04286	1.04287	
6.97221 0.99802	0.998018	1.00852	1.00832	1.04103	1.04107	
6.99269 0.998013	0.99801	1.0086	1.00841	1.04006	1.04012	
7.01317 0.998593	0.998589	1.01061	1.01042	1.04059	1.04067	
7.03364 0.998446	0.998442	1.01052	1.01033	1.03852	1.03862	
7.05412 0.99891	0.998905	1.01221	1.01203	1.0368	1.03693	
7.07459 0.998741	0.998735	1.01294	1.01277	1.03602	1.03617	
7.09507 0.998831	0.998825	1.01445	1.01428	1.03517	1.03533	
7.11555 0.998609	0.998602	1.0151	1.01495	1.03313	1.03332	
7.13602 0.999846	0.999838	1.01533	1.01518	1.03173	1.03194	
7.1565 1.00025	1.00024	1.01672	1.01658	1.03104	1.03126	
7.17698 1.00028	1.00027	1.01683	1.01671	1.0286	1.02884	
7.19745 1.00014	1.00013	1.01877	1.01865	1.02761	1.02787	
7.21793 1.00053	1.00053	1.01906	1.01896	1.02646	1.02673	
7.23841 1.00107	1.00106	1.0191	1.01901	1.02292	1.0232	
7.25888 1.00189	1.00188	1.01979	1.01971	1.02139	1.02169	
7.27936 1.00143	1.00143	1.0206	1.02053	1.01971	1.02002	
7.29983 1.00155	1.00155	1.01989	1.01984	1.0193	1.01962	
7.32031 1.00215	1.00215	1.02114	1.0211	1.01799	1.01832	
7.34079 1.00216	1.00216	1.02099	1.02096	1.01536	1.0157	
7.36126 1.00218	1.00218	1.02176	1.02174	1.01432	1.01467	
7.38174 1.00354	1.00354	1.02158	1.02158	1.01254	1.0129	
7.40222 1.00323	1.00323	1.0216	1.02162	1.01053	1.01089	
7.42269 1.00299	1.003	1.02158	1.0216	1.00959	1.00996	
7.44317 1.00343	1.00344	1.02163	1.02167	1.00856	1.00893	
7.46365 1.00438	1.00439	1.02202	1.02208	1.00601	1.00639	
7.48412 1.00457	1.00458	1.02166	1.02173	1.00271	1.00309	
7.5046 1.00418	1.0042	1.02112	1.0212	1.00431	1.00469	
7.52507 1.00373	1.00375	1.02168	1.02178	1.00226	1.00264	
7.54555 1.00443	1.00445	1.02049	1.02061	0.998516	0.998897	
7.56603 1.00467	1.0047	1.01973	1.01986	0.999098	0.999478	
7.5865 1.00482	1.00485	1.02071	1.02085	0.997544	0.997923	
7.60698 1.00527	1.00531	1.01957	1.01972	0.997932	0.998309	
7.62746 1.00552	1.00556	1.01856	1.01873	0.994827	0.995201	
7.64793 1.00524	1.00528	1.01881	1.01899	0.995307	0.995678	
7.66841 1.00585	1.00589	1.01818	1.01838	0.993549	0.993915	
7.68889 1.00577	1.00582	1.01677	1.01697	0.992389	0.992749	
7.70936 1.00637	1.00643	1.01678	1.01699	0.991907	0.992262	
7.72984 1.00552	1.00558	1.01616	1.01639	0.99127	0.991619	
7.75032 1.00574	1.0058	1.01422	1.01445	0.98974	0.990081	
7.77079 1.00633	1.00639	1.01385	1.01409	0.988939	0.989273	
7.79127 1.00652	1.00659	1.01319	1.01345	0.987756	0.988081	
7.81174 1.00623	1.0063	1.01244	1.0127	0.988753	0.989071	
7.83222 1.00673	1.00681	1.0113	1.01157	0.988188	0.988498	
7.8527 1.00718	1.00726	1.01045	1.01073	0.987264	0.987565	
7.87317 1.00703	1.00712	1.00992	1.0102	0.987692	0.987985	
7.89365 1.00625	1.00634	1.00912	1.00941	0.986625	0.986908	
7.91413 1.00676	1.00685	1.00818	1.00847	0.98665	0.986923	
7.9346 1.00678	1.00689	1.00669	1.00699	0.984858	0.98512	
7.95508 1.00661	1.00672	1.00671	1.00702	0.986479	0.986732	
7.97556 1.00644	1.00655	1.00572	1.00603	0.985198	0.985441	
7.99603 1.00597	1.00609	1.00438	1.0047	0.986557	0.98679	
8.01651 1.00649	1.00661	1.00374	1.00406	0.986563	0.986786	
8.03698 1.00649	1.00661	1.00251	1.00283	0.985053	0.985265	
8.05746 1.00623	1.00636	1.0018	1.00212	0.987077	0.98728	
8.07794 1.00686	1.007	1.00112	1.00144	0.985891	0.986083	
8.09841 1.00652	1.00666	0.999674	0.999996	0.987679	0.987863	
8.11889 1.00596	1.00611	0.9994	0.999722	0.987457	0.987631	
8.13937 1.00625	1.00641	0.998602	0.998922	0.988169	0.988334	
8.15984 1.00598	1.00614	0.997827	0.998146	0.988676	0.988832	
8.18032 1.00544	1.0056	0.997418	0.997735	0.987562	0.987709	
8.2008 1.00547	1.00563	0.996421	0.996735	0.989293	0.989432	
8.22127 1.00607	1.00624	0.995746	0.996056	0.989031	0.989161	
8.24175 1.0043	1.00448	0.994872	0.995179	0.990168	0.990291	
8.26223 1.00509	1.00527	0.993931	0.994233	0.991045	0.991161	
8.2827 1.00493	1.00511	0.993467	0.993763	0.990305	0.990413	
8.30318 1.00446	1.00465	0.992584	0.992874	0.989648	0.989748	
8.32365 1.00415	1.00434	0.992295	0.992579	0.992198	0.992292	
8.34413 1.00392	1.00411	0.992673	0.992952	0.990106	0.990192	
8.36461 1.00299	1.00318	0.992062	0.992334	0.992401	0.992481	
8.38508 1.00307	1.00327	0.991785	0.992051	0.992984	0.993058	
8.40556 1.00243	1.00263	0.990994	0.991253	0.992765	0.992833	
8.42604 1.00258	1.00279	0.991005	0.991256	0.993518	0.993581	
8.44651 1.00197	1.00217	0.990991	0.991235	0.995195	0.995254	
8.46699 1.00151	1.00172	0.989948	0.990183	0.994836	0.994891	
8.48747 1.00117	1.00138	0.989732	0.989959	0.995162	0.995212	
8.50794 1.00102	1.00123	0.98943	0.989648	0.995939	0.995986	
8.52842 1.00088	1.00109	0.989293	0.989502	0.996998	0.997043	
8.54889 1.00003	1.00024	0.989512	0.989712	0.99594	0.995981	
8.56937 0.999554	0.999763	0.989405	0.989596	0.996382	0.99642	
