# Radius 	finiterdf__H_Water_H_Water	rdf__H_Water_H_Water	finiterdf__H_Water_O_Water	rdf__H_Water_O_Water	finiterdf__O_Water_O_Water	rdf__O_Water_O_Water	
3.53218 1.0133	1.01283	1.29028	1.29052	0.831563	0.831672	
3.55265 1.02812	1.02765	1.26522	1.2655	0.837282	0.837374	
3.57313 1.0427	1.04223	1.24232	1.24263	0.84181	0.841883	
3.59361 1.05597	1.0555	1.21663	1.21697	0.847474	0.84753	
3.61408 1.06851	1.06804	1.19467	1.19504	0.853083	0.853122	
3.63456 1.08283	1.08237	1.17086	1.17124	0.859222	0.859244	
3.65504 1.09323	1.09278	1.15146	1.15186	0.865236	0.865242	
3.67551 1.10414	1.1037	1.13101	1.13143	0.872079	0.872068	
3.69599 1.11654	1.11612	1.11058	1.11101	0.882078	0.882052	
3.71647 1.12379	1.12338	1.09174	1.09218	0.884432	0.884391	
3.73694 1.13398	1.13359	1.07524	1.07569	0.895004	0.894949	
3.75742 1.14231	1.14195	1.06025	1.0607	0.900849	0.90078	
3.77789 1.14953	1.14919	1.04739	1.04784	0.907974	0.907891	
3.79837 1.15562	1.15531	1.03584	1.03629	0.917942	0.917847	
3.81885 1.15985	1.15957	1.02471	1.02516	0.923288	0.923181	
3.83932 1.16348	1.16322	1.01641	1.01686	0.929099	0.928982	
3.8598 1.16679	1.16656	1.00896	1.00941	0.937747	0.937618	
3.88028 1.16625	1.16605	1.00087	1.00131	0.947637	0.947499	
3.90075 1.1674	1.16724	0.995896	0.996337	0.954662	0.954516	
3.92123 1.16618	1.16604	0.99021	0.990647	0.962544	0.962391	
3.94171 1.16377	1.16367	0.986834	0.987267	0.966166	0.966007	
3.96218 1.1599	1.15983	0.982842	0.983271	0.9754	0.975236	
3.98266 1.15546	1.15543	0.980093	0.980518	0.983264	0.983096	
4.00314 1.14865	1.14864	0.976341	0.97676	0.993447	0.993275	
4.02361 1.143	1.14302	0.975593	0.976007	0.997419	0.997246	
4.04409 1.13539	1.13543	0.974362	0.974772	1.00802	1.00785	
4.06456 1.12789	1.12796	0.973874	0.974279	1.01441	1.01423	
4.08504 1.11913	1.11923	0.972965	0.973365	1.02251	1.02234	
4.10552 1.11208	1.1122	0.971583	0.971978	1.02963	1.02946	
4.12599 1.10265	1.10278	0.97156	0.97195	1.03923	1.03908	
4.14647 1.09539	1.09555	0.970594	0.970977	1.04576	1.04561	
4.16695 1.08705	1.08722	0.970351	0.97073	1.05124	1.05109	
4.18742 1.07966	1.07984	0.969702	0.970075	1.05862	1.05849	
4.2079 1.07141	1.07161	0.969069	0.969436	1.06425	1.06413	
4.22838 1.06654	1.06675	0.967902	0.968263	1.06925	1.06915	
4.24885 1.05958	1.05981	0.966133	0.966487	1.0759	1.07581	
4.26933 1.05512	1.05535	0.966388	0.966736	1.08071	1.08063	
4.2898 1.04958	1.04982	0.965482	0.965823	1.08596	1.08591	
4.31028 1.04508	1.04533	0.96592	0.966254	1.08944	1.08941	
4.33076 1.04246	1.04272	0.963941	0.964268	1.09488	1.09486	
4.35123 1.03974	1.04	0.964636	0.964956	1.0983	1.09831	
4.37171 1.03639	1.03667	0.963533	0.963846	1.10075	1.10078	
4.39219 1.03501	1.03529	0.961985	0.962289	1.10315	1.1032	
4.41266 1.03198	1.03227	0.960098	0.960394	1.10682	1.1069	
4.43314 1.03021	1.03051	0.960147	0.960435	1.10814	1.10825	
4.45362 1.02937	1.02967	0.959345	0.959625	1.10959	1.10972	
4.47409 1.02901	1.02932	0.959608	0.959879	1.11121	1.11137	
4.49457 1.02832	1.02863	0.958361	0.958623	1.10807	1.10825	
4.51504 1.02681	1.02713	0.95868	0.958934	1.11028	1.11049	
4.53552 1.02613	1.02645	0.957463	0.957707	1.11331	1.11355	
4.556 1.02474	1.02507	0.957673	0.957908	1.11243	1.1127	
4.57647 1.02485	1.02519	0.956266	0.956492	1.11003	1.11033	
4.59695 1.02347	1.02381	0.957738	0.957955	1.10896	1.10928	
4.61743 1.02288	1.02323	0.958412	0.95862	1.10716	1.10751	
