# Radius 	finiterdf__O_Water_O_Water	rdf__O_Water_O_Water	finiterdf__O_Water_H_Water	rdf__O_Water_H_Water	finiterdf__H_Water_H_Water	rdf__H_Water_H_Water	
5.60029 0.906089	0.906329	1.01655	1.01677	0.970042	0.970117	
5.62077 0.905506	0.905717	1.01476	1.01498	0.971393	0.971459	
5.64125 0.905448	0.905629	1.01256	1.01278	0.972721	0.972778	
5.66172 0.906448	0.9066	1.01153	1.01175	0.973942	0.97399	
5.6822 0.904102	0.904223	1.01017	1.0104	0.975362	0.975401	
5.70268 0.904816	0.904907	1.00939	1.00962	0.977361	0.977392	
5.72315 0.905661	0.905721	1.0064	1.00664	0.978265	0.978289	
5.74363 0.907452	0.907482	1.00385	1.00409	0.98157	0.981588	
5.76411 0.908986	0.908986	1.00253	1.00277	0.982665	0.982676	
5.78458 0.912221	0.912191	1.0009	1.00114	0.98468	0.984685	
5.80506 0.912552	0.912493	0.998053	0.998287	0.98638	0.986381	
5.82553 0.913871	0.913783	0.996825	0.997059	0.988527	0.988524	
5.84601 0.91794	0.917823	0.99474	0.994971	0.989725	0.989718	
5.86649 0.920552	0.920406	0.991778	0.992005	0.991821	0.99181	
5.88696 0.925527	0.925354	0.990553	0.990776	0.992758	0.992745	
5.90744 0.927901	0.927703	0.988462	0.988681	0.994049	0.994033	
5.92792 0.931011	0.930786	0.985382	0.985595	0.995445	0.995428	
5.94839 0.934721	0.934472	0.983751	0.983957	0.996748	0.99673	
5.96887 0.937425	0.937152	0.981932	0.982131	0.998696	0.998677	
5.98935 0.943069	0.942773	0.980078	0.980269	0.998959	0.998939	
6.00982 0.944711	0.944394	0.977586	0.977768	1.00082	1.0008	
6.0303 0.950192	0.949854	0.975752	0.975924	1.00149	1.00147	
6.05077 0.954655	0.954298	0.975574	0.975736	1.0022	1.00218	
6.07125 0.957821	0.957446	0.973769	0.973921	1.0033	1.00328	
6.09173 0.96152	0.961129	0.972551	0.972692	1.00331	1.00329	
6.1122 0.965595	0.965187	0.971617	0.971746	1.00411	1.00409	
6.13268 0.967868	0.967447	0.970018	0.970135	1.00442	1.00441	
6.15316 0.972153	0.971718	0.969446	0.969551	1.00498	1.00497	
6.17363 0.976018	0.975571	0.969004	0.969096	1.00602	1.00601	
6.19411 0.978772	0.978315	0.968841	0.968921	1.0057	1.00569	
6.21459 0.984331	0.983865	0.968158	0.968225	1.00525	1.00525	
6.23506 0.988723	0.988249	0.968047	0.9681	1.00579	1.00579	
6.25554 0.991571	0.991092	0.967514	0.967553	1.006	1.00601	
6.27601 0.994967	0.994485	0.967979	0.968004	1.00527	1.00528	
6.29649 0.9978	0.997315	0.967988	0.968	1.00457	1.00458	
6.31697 0.999939	0.999453	0.968055	0.968053	1.00555	1.00556	
6.33744 1.00398	1.00349	0.968464	0.968448	1.0046	1.00462	
6.35792 1.00711	1.00663	0.968883	0.968854	1.00458	1.00459	
6.3784 1.01173	1.01125	0.971108	0.971066	1.00377	1.00379	
6.39887 1.01301	1.01254	0.970485	0.97043	1.00321	1.00323	
6.41935 1.01536	1.01489	0.971402	0.971335	1.00347	1.00348	
6.43983 1.01696	1.0165	0.972784	0.972705	1.00304	1.00306	
6.4603 1.02173	1.02127	0.973904	0.973812	1.00204	1.00206	
6.48078 1.02207	1.02163	0.975193	0.97509	1.00194	1.00196	
6.50126 1.026	1.02557	0.975973	0.975859	1.00147	1.00149	
6.52173 1.02752	1.02709	0.977252	0.977127	1.00159	1.00161	
6.54221 1.0296	1.02919	0.979382	0.979248	0.999668	0.999691	
6.56268 1.03038	1.02998	0.980007	0.979862	0.999766	0.999789	
6.58316 1.034	1.03362	0.981232	0.981079	0.999271	0.999294	
6.60364 1.03396	1.03359	0.983191	0.983029	0.99885	0.998872	
6.62411 1.03624	1.0359	0.984137	0.983967	0.998671	0.998692	
6.64459 1.03654	1.03621	0.985041	0.984864	0.998431	0.998452	
6.66507 1.039	1.03869	0.987189	0.987005	0.998796	0.998816	
6.68554 1.03946	1.03918	0.988676	0.988486	0.997833	0.997852	
6.70602 1.03924	1.03897	0.989763	0.989567	0.997419	0.997437	
6.7265 1.04211	1.04186	0.991063	0.990863	0.997696	0.997713	
6.74697 1.04223	1.042	0.992938	0.992734	0.996623	0.996638	
6.76745 1.04137	1.04117	0.993936	0.993728	0.997473	0.997486	
6.78792 1.04273	1.04255	0.996828	0.996618	0.997682	0.997694	
6.8084 1.04265	1.04249	0.99768	0.997468	0.996863	0.996873	
6.82888 1.04393	1.0438	0.998716	0.998504	0.996818	0.996827	
6.84935 1.04256	1.04245	1.00059	1.00038	0.996938	0.996946	
6.86983 1.04412	1.04403	1.00143	1.00122	0.996648	0.996654	
6.89031 1.04176	1.0417	1.00362	1.00341	0.996937	0.996942	
6.91078 1.0438	1.04377	1.00427	1.00406	0.99711	0.997113	
6.93126 1.04229	1.04228	1.00611	1.0059	0.997345	0.997347	
6.95174 1.04105	1.04106	1.00663	1.00642	0.998023	0.998023	
6.97221 1.04062	1.04065	1.00749	1.00729	0.997379	0.997377	
6.99269 1.04073	1.04079	1.00873	1.00853	0.997357	0.997354	
7.01317 1.03919	1.03927	1.00937	1.00918	0.99852	0.998516	
7.03364 1.0373	1.0374	1.01159	1.0114	0.998522	0.998518	
7.05412 1.03706	1.03719	1.0126	1.01243	0.998657	0.998652	
7.07459 1.03535	1.03549	1.01362	1.01345	0.99822	0.998214	
7.09507 1.035	1.03517	1.01412	1.01396	0.999128	0.999122	
7.11555 1.03469	1.03488	1.01573	1.01557	0.999463	0.999456	
7.13602 1.03158	1.03178	1.01587	1.01573	0.999526	0.999519	
7.1565 1.03059	1.03081	1.01761	1.01747	0.999704	0.999697	
7.17698 1.02878	1.02902	1.01782	1.01769	1.00054	1.00053	
7.19745 1.02725	1.0275	1.01833	1.01822	1.0005	1.00049	
7.21793 1.02672	1.02699	1.01811	1.01801	1.00058	1.00057	
7.23841 1.02425	1.02453	1.01934	1.01925	1.0007	1.0007	
7.25888 1.02208	1.02237	1.01982	1.01974	1.00057	1.00056	
7.27936 1.02139	1.0217	1.02003	1.01997	1.0013	1.0013	
7.29983 1.01918	1.0195	1.02074	1.02069	1.00225	1.00224	
7.32031 1.01787	1.0182	1.02059	1.02055	1.00247	1.00247	
7.34079 1.01558	1.01592	1.02215	1.02212	1.00266	1.00266	
7.36126 1.01515	1.0155	1.0219	1.02189	1.00298	1.00298	
7.38174 1.01246	1.01282	1.02183	1.02184	1.00237	1.00238	
7.40222 1.01068	1.01105	1.02114	1.02116	1.00243	1.00244	
7.42269 1.00941	1.00978	1.02164	1.02167	1.00329	1.0033	
7.44317 1.00781	1.00819	1.02059	1.02064	1.00399	1.004	
7.46365 1.00594	1.00632	1.0216	1.02166	1.0041	1.00411	
7.48412 1.00442	1.0048	1.02082	1.02089	1.0039	1.00392	
7.5046 1.00315	1.00353	1.02097	1.02106	1.00462	1.00463	
7.52507 1.00209	1.00248	1.02057	1.02066	1.00543	1.00545	
7.54555 1.00138	1.00177	1.0209	1.02102	1.00466	1.00469	
7.56603 0.999886	1.00027	1.02144	1.02157	1.00445	1.00448	
7.5865 0.997177	0.997559	1.02023	1.02037	1.00478	1.00481	
7.60698 0.997623	0.998004	1.01957	1.01973	1.0049	1.00493	
7.62746 0.994664	0.995041	1.01877	1.01893	1.0054	1.00544	
7.64793 0.995143	0.995517	1.01841	1.01859	1.00566	1.0057	
7.66841 0.993519	0.993888	1.01735	1.01754	1.00577	1.00581	
7.68889 0.992441	0.992805	1.01762	1.01782	1.00515	1.0052	
7.70936 0.991281	0.991639	1.01646	1.01667	1.00572	1.00577	
7.72984 0.991105	0.991457	1.01622	1.01644	1.00607	1.00613	
7.75032 0.991155	0.991501	1.01524	1.01548	1.00617	1.00623	
7.77079 0.989024	0.989361	1.01366	1.0139	1.00649	1.00656	
7.79127 0.987923	0.988252	1.01369	1.01394	1.00591	1.00598	
7.81174 0.989129	0.989452	1.01241	1.01267	1.00639	1.00647	
7.83222 0.98832	0.988634	1.01173	1.012	1.00671	1.00679	
7.8527 0.986324	0.986628	1.01053	1.01081	1.0074	1.00748	
7.87317 0.986515	0.98681	1.00965	1.00994	1.00634	1.00643	
7.89365 0.986946	0.987232	1.00917	1.00946	1.00658	1.00668	
7.91413 0.985075	0.98535	1.00861	1.00891	1.00698	1.00708	
7.9346 0.985591	0.985856	1.00744	1.00775	1.00681	1.00691	
7.95508 0.986344	0.9866	1.00572	1.00603	1.00698	1.00709	
7.97556 0.986649	0.986894	1.00602	1.00634	1.00694	1.00706	
7.99603 0.987262	0.987499	1.004	1.00432	1.00702	1.00714	
8.01651 0.986383	0.98661	1.00355	1.00387	1.00636	1.00649	
8.03698 0.986101	0.986318	1.00295	1.00327	1.00684	1.00697	
8.05746 0.986357	0.986563	1.00157	1.00189	1.00663	1.00677	
8.07794 0.986133	0.98633	1.00123	1.00155	1.00603	1.00617	
8.09841 0.98759	0.987777	1.00054	1.00087	1.00616	1.0063	
8.11889 0.98735	0.987528	0.999633	0.999957	1.00625	1.0064	
8.13937 0.986998	0.987166	0.998135	0.998458	1.00618	1.00634	
8.15984 0.987899	0.988058	0.997897	0.998218	1.0054	1.00556	
8.18032 0.988171	0.988321	0.996989	0.997307	1.00551	1.00567	
8.2008 0.988075	0.988216	0.996547	0.996863	1.0047	1.00487	
8.22127 0.987979	0.98811	0.995392	0.995704	1.00558	1.00575	
8.24175 0.989406	0.98953	0.995126	0.995435	1.00514	1.00532	
8.26223 0.990605	0.990721	0.994161	0.994465	1.00491	1.00509	
8.2827 0.98882	0.988927	0.99366	0.993959	1.0043	1.00449	
8.30318 0.991458	0.991559	0.992995	0.993288	1.00447	1.00466	
8.32365 0.989878	0.98997	0.993093	0.993381	1.00438	1.00457	
8.34413 0.990426	0.990511	0.991794	0.992075	1.00384	1.00403	
8.36461 0.993339	0.993419	0.991482	0.991757	1.00368	1.00388	
8.38508 0.993567	0.993641	0.991301	0.991569	1.00292	1.00312	
8.40556 0.993513	0.993582	0.990774	0.991034	1.0026	1.0028	
8.42604 0.993579	0.993642	0.990031	0.990282	1.00258	1.00278	
8.44651 0.994322	0.994381	0.990581	0.990825	1.00205	1.00226	
8.46699 0.994812	0.994867	0.989905	0.990141	1.00148	1.00169	
8.48747 0.99458	0.99463	0.98932	0.989546	1.0012	1.00141	
8.50794 0.994874	0.99492	0.990255	0.990474	1.0009	1.00111	
8.52842 0.996273	0.996316	0.989023	0.989232	1.00081	1.00102	
8.54889 0.996565	0.996605	0.989114	0.989314	1.00012	1.00033	
8.56937 0.996137	0.996174	0.989009	0.9892	0.999997	1.00021	
